# Duplicate literal declarations of one value, CLASSIFIED. Two very different things live
# here and conflating them is what makes an allowlist feel like permanent debt:
#
#   exempt:*  -- legitimate and PERMANENT. Do not 'clean these up'; collapsing them destroys
#                information. A role alias names one function from a caller's viewpoint
#                (LEAF_UPDATE_RVA is the leaf node-kind in a vtable classifier that happens
#                to be MenuWindowJob::Run); a not-an-address value merely collides numerically.
#   todo:*    -- real debt. This set must only ever SHRINK. Each is adjudicated against the
#                1.16.2 Ghidra dump, then the value is declared once and the aliases derived.
#
# See docs/plans/experiments-module-split-audit.md section 2.

0x100001    exempt:not-an-address     # CONTEXT_CONTROL_AMD64 || Windows CONTEXT_FLAGS bitmask, not a game RVA.
0x81d3d0    exempt:role-alias         # SOFTWARE_KEYBOARD_RESULT_GATE_RVA, SOFTWARE_KEYBOARD_RESULT_GATE_VA  || same SoftwareKeyboard recipe: build-time SIG generator vs runtime call target.
0x8c47c0    exempt:role-alias         # ANNOUNCE_UPDATE_VA, UPDATE_RVA  || er-invasion-warp: build.rs VA assembles UPDATE_PROLOGUE; announce.rs:109 is the runtime target. THE PAIR IS ALREADY MID-SPLIT -- announce.rs records the 1.17 entry as 0x8c5960 and `verified_fn` refuses audibly until the map row lands. That is the versioning split, not drift.
0xd10b60    exempt:role-alias         # PLACE_NAME_LOOKUP_RVA, PLACE_NAME_LOOKUP_VA  || er-invasion-warp: build.rs VA assembles PLACE_NAME_LOOKUP_PROLOGUE; place_name.rs:40 is the call target it guards.
0xd3d5f0    exempt:role-alias         # LOAD_BALANCER_PARAM_RVA, LOAD_BALANCER_PARAM_VA  || er-seamless-bugfixes: build.rs VA assembles LOAD_BALANCER_PARAM_PROLOGUE; src RVA is the guarded detour.
0xe6e430    exempt:role-alias         # SL_POLL_SAVE_STATUS_RVA, SL_POLL_SAVE_STATUS_VA  || er-save-suppress: build.rs VA assembles SL_POLL_SAVE_STATUS_SIG; src RVA is the runtime target.
0xe6f200    exempt:role-alias         # SL_RELEASE_REQUEST_RVA, SL_RELEASE_REQUEST_VA  || build.rs (er-save-suppress) assembles SL_RELEASE_REQUEST_SIG; the runtime side is centralised in er-game-base and re-derived at lib.rs:191.
0xe6fb50    exempt:role-alias         # SL_ENQUEUE_SAVE_JOB_RVA, SL_ENQUEUE_SAVE_JOB_VA  || er-save-suppress: build.rs VA assembles SL_ENQUEUE_SAVE_JOB_SIG; src RVA is the runtime target.
0xe70920    exempt:role-alias         # SOFTWARE_KEYBOARD_VALIDATOR_INIT_RVA, SOFTWARE_KEYBOARD_VALIDATOR_INIT_VA  || same SoftwareKeyboard recipe: build-time SIG generator vs runtime call target.
0xe70960    exempt:role-alias         # SOFTWARE_KEYBOARD_VALIDATOR_DTOR_RVA, SOFTWARE_KEYBOARD_VALIDATOR_DTOR_VA  || same SoftwareKeyboard recipe: build-time SIG generator vs runtime call target.
0xe709f0    exempt:role-alias         # SOFTWARE_KEYBOARD_SET_INITIAL_RVA, SOFTWARE_KEYBOARD_SET_INITIAL_VA  || same SoftwareKeyboard recipe: build-time SIG generator vs runtime call target.
0xe70c00    exempt:role-alias         # SOFTWARE_KEYBOARD_ENTER_NAME_RVA, SOFTWARE_KEYBOARD_ENTER_NAME_VA  || same SoftwareKeyboard recipe: build-time SIG generator vs runtime call target.
0x1eb9ed0   exempt:role-alias         # GAME_HEAP_ALLOC_RVA, GAME_HEAP_ALLOC_VA  || er-quickload: build.rs VA assembles GAME_HEAP_ALLOC_SIG for the allocator thunk; anti_debug.rs:530 is the call target. Ghidra 1.16.2 names it HeapAlloc@141eb9ed0.
0x23f1bf0   exempt:role-alias         # SESSION_MANAGER_PLAYER_ENTRY_BASE_COPY_RVA, SESSION_MANAGER_PLAYER_ENTRY_BASE_COPY_VA  || er-player-name-filter: build.rs VA assembles the PROLOGUE, src RVA is the detour target.
0x240fd70   exempt:role-alias         # SL_SAVE_JOB_BODY_RVA, SL_SAVE_JOB_BODY_VA  || er-save-suppress: build.rs VA assembles SL_SAVE_JOB_BODY_SIG; save_job_completion.rs:41 is the observed job body.
0x2413860   exempt:role-alias         # SAVE_WRITE_FULL_REBUILD_RVA, SAVE_WRITE_FULL_REBUILD_VA  || er-save-suppress: build.rs VA assembles SAVE_WRITE_FULL_REBUILD_SIG; save_write_branch.rs:45 is the 4-arg detour target.
0x24142e0   exempt:role-alias         # SAVE_WRITE_IN_PLACE_RVA, SAVE_WRITE_IN_PLACE_VA  || er-save-suppress: build.rs VA assembles SAVE_WRITE_IN_PLACE_SIG; save_write_branch.rs:62 is the 5-arg detour target.
0x2416ee0   exempt:role-alias         # SOFTWARE_KEYBOARD_SET_MAX_RVA, SOFTWARE_KEYBOARD_SET_MAX_VA  || same SoftwareKeyboard recipe: build-time SIG generator vs runtime call target.

# --- todo: one address written out twice with NO second viewpoint. This set must only SHRINK. ---
0x262250    todo:centralize-function-rva  # PROFILE_MARK_SLOT_USED_RVA (er-loading-portrait-core), ProfileLoadMenuRva::ProfileSlotActivate (er-title-flow)  || 1.16.2 Ghidra: `bool MarkProfileIndexAsUsed(ProfileSummary*, int)`, 19 bytes. The RVA name is right; the enum name is a looser claim for the same function. Centralise on the Ghidra name.
0x679510    todo:centralize-function-rva  # B80_LANE1_DRIVER_RVA (er-title-flow), NativeSaveMenuRva::SaveLoadPumpDefault (er-save-loader)  || FUN_140679510 calls the iodev getter 0x140e6e060 then PollSaveStatus 0x140e6e430; both names describe that pump from different call sites. Two literals, no version split.
0x67a420    todo:centralize-function-rva  # SYSTEM_QUIT_SAVE_REQUEST_PROFILE_RVA (er-title-flow), NativeSaveMenuRva::SaveRequestProfile (er-save-loader)  || same function, agreeing names, written out twice in two crates.
0x67a520    todo:centralize-function-rva  # SYSTEM_QUIT_REQUEST_SAVE_RVA (er-title-flow), NativeSaveMenuRva::RequestSave (er-save-loader)  || same function, agreeing names, written out twice in two crates.
0x81ead0    todo:centralize-function-rva  # FACTORY_RVA (er-quickload menu_observation.rs, fn-local const), TitleDialogRva::LiveDialogFactory (er-title-flow)  || FUN_14081ead0 calls constructScaleformObject + HeapAlloc + FUN_1409aa680; both names mean the dialog factory. The fn-local const should import the enum.
0x826d50    todo:centralize-function-rva  # LoadJobRun (er-title-flow stage2_menu_drive.rs), SYSTEM_QUIT_PROFILE_LOAD_JOB_RUN_RVA (er-quickload)  || RESOLVED 2026-08-30: both are `CS::MenuJobWithContext<LoadJobContext>::Run` (vt[2] of MenuJobLoadContextVtable @ 0x2ac71e0), not a "selector tick" -- no callers, DATA-only xrefs, body calls MenuJobResult::SetResult(out, Failed, 0). Names now agree; still two literal declarations to centralize.
0x2ac3ea8   todo:centralize-vtable-rva    # FUNCTOR_VTABLE_RVA (er-quickload menu_observation.rs, fn-local const), ProfileLoadMenuRva::MenuLoadGameFunctorVtable (er-title-flow)  || same vtable, two literals; the fn-local const should import the enum.
0x2ac71e0   todo:centralize-vtable-rva    # MENUJOB_LOADGAME_VTABLE_DUMP_VA (er-quickload), ProfileLoadMenuRva::MenuJobLoadContextVtable (er-title-flow)  || RESOLVED 2026-08-30 by RTTI, not inference: vtable[-1]@0x142ac71d8 -> COL 0x1432fc230 -> TD 0x143ca5d40 -> `.?AV?$MenuJobWithContext@VLoadJobContext@...`. It is the MenuJob vtable, not a "SelectorStep" vtable; vt[2]=0x140826d50 is LoadJobRun. Names now agree; still two literal declarations to centralize.
0x2b26468   todo:centralize-vtable-rva    # TITLE_TOP_DIALOG_VTABLE_RVA (er-game-base/src/rva.rs), TitleDialogRva::Vtable (er-title-flow)  || er-game-base is already the central home for this value; the enum re-writes the literal instead of deriving. Straight one-line fix.
0x3d60ec8   todo:centralize-global-rva    # NOW_LOADING_SINGLETON_RVA (er-input-harness), RuntimeGlobalRva::NowLoadingSingleton (er-title-flow)  || same CSNowLoadingHelperImp singleton, agreeing names; er-input-harness already derives GAME_MAN_SINGLETON_RVA from er-game-base and should do the same here.
0x3d6d8d0   todo:centralize-data-rva      # TitleDialogRva::ProfileModelRendTable (er-title-flow), TITLE_CUSTOM_COVER_PROFILE_RENDERER_TABLE_RVA (er-loading-portrait-core)  || RESOLVED 2026-08-30: 10 contiguous `CS::CSMenuProfModelRend*` slots, not a screen array. 0x1409af3a0 builds it (HeapAlloc+ctor x10), 0x1409b2db0 clears it via CSDelayDeleteMan, 0x1409aa680 pumps it from GetProfileSummary(). er-loading-portrait-core's name was the accurate one; er-title-flow renamed to agree. Still two literal declarations to centralize.
0x3d6d988   todo:centralize-global-rva    # GAME_MAN_SINGLETON_VA declared in BOTH er-quickload/build.rs:34 and er-save-suppress/build.rs:33  || NOT a role alias: same name, same role, same 1.17 address, two build scripts. This is the "one name re-declared independently in several crates" shape. A 1.18 move updated in one build.rs and missed in the other silently disarms only the other crate's patch.
0x4589390   todo:centralize-global-rva    # RuntimeGlobalRva::IoDeviceSingleton (er-title-flow), SL_IODEV_GLOBAL_RVA (er-game-base)  || er-game-base's own doc says both aliases "now derive from here (2026-08-01)" -- but the enum discriminant still writes the literal, so that dedupe was incomplete. Finish it.
0x47ef360   todo:centralize-global-rva    # GX_DRAW_CONTEXT_RVA (er-loading-portrait-core), TitleSessionRva::GxDrawContextSingleton (er-title-flow)  || RESOLVED 2026-08-30 (was "NAMES ARE IRRECONCILABLE"): 1.16.2 dump names the global `g_GxDrawContext`, typed `GxDrawContext*`. Of 1242 xrefs exactly 2 are writes (ctor/dtor pair @0x1419e6340/0x1419e63a0, HeapAlloc size 0x1010 == sizeof(GxDrawContext)); zero writers in the move-map/load region. Never null at the title -- CSMovieGxTexture's ctor derefs it with no null check for the title background movie. NOT the session/readiness singleton; that is the unrelated 0x4588e98 (TitleSessionRva::SaveSafeBeginLogoSession), which title_tick_cover.rs correctly gates on. Names now agree; still two literal declarations to centralize.
0x4853048   todo:centralize-global-rva    # FD4_IO_POOL_RVA (er-title-flow constants_autoload_state.rs), RuntimeGlobalRva::Fd4IoPool (er-title-flow constants_moved.rs)  || SAME CRATE, two tables, same name, two literals. Purely mechanical to collapse.
